Number of Particles,Frame Time,Update Time
166,0.015162,0.012432
166,0.013462,0.013128
167,0.014123,0.012717
167,0.013713,0.012619
168,0.013632,0.012553
168,0.013553,0.012837
168,0.013835,0.012348
168,0.013335,0.013102
168,0.014105,0.012474
168,0.013468,0.013701
168,0.014739,0.012581
168,0.013572,0.012644
168,0.013628,0.012524
168,0.013512,0.013411
169,0.015881,0.01361
169,0.014609,0.01352
170,0.014515,0.01266
170,0.013655,0.012853
170,0.013846,0.01216
170,0.013154,0.0136
171,0.014617,0.013012
171,0.014015,0.013154
171,0.014161,0.012792
171,0.013786,0.012735
171,0.013735,0.012859
171,0.013922,0.012832
171,0.013833,0.013194
172,0.014197,0.01344
172,0.01445,0.013155
172,0.01417,0.012984
172,0.013995,0.013035
172,0.014035,0.012865
172,0.01388,0.01289
172,0.013897,0.012805
172,0.013806,0.012913
172,0.013938,0.013066
172,0.014062,0.012958
172,0.01397,0.012957
172,0.013965,0.014077
172,0.015148,0.01497
172,0.016082,0.015133
172,0.016137,0.014248
172,0.015252,0.013035
172,0.014037,0.012836
172,0.013848,0.012956
172,0.013965,0.012892
172,0.013902,0.012783
172,0.013805,0.013036
173,0.014052,0.012925
173,0.013938,0.014108
173,0.015119,0.012999
173,0.014003,0.012863
173,0.013868,0.012902
173,0.013903,0.012702
173,0.013704,0.013161
174,0.014176,0.014319
174,0.015349,0.013058
175,0.014072,0.012971
175,0.013982,0.013236
176,0.014252,0.013223
176,0.014229,0.013002
177,0.014024,0.013599
177,0.014623,0.013542
177,0.014558,0.013508
177,0.014545,0.014291
178,0.015326,0.013663
178,0.014688,0.013489
178,0.014518,0.013342
178,0.014382,0.012858
179,0.013927,0.013482
179,0.014515,0.013847
179,0.014876,0.013602
180,0.01463,0.013697
180,0.01472,0.014211
180,0.015234,0.013599
180,0.014633,0.01357
180,0.014628,0.013407
180,0.014453,0.013626
181,0.014672,0.013768
181,0.014807,0.013642
181,0.014676,0.013616
181,0.014649,0.014739
181,0.015773,0.013585
182,0.014622,0.013443
182,0.014475,0.013668
182,0.014706,0.013499
182,0.014583,0.013757
182,0.014792,0.01396
182,0.015005,0.014566
182,0.015604,0.014263
182,0.015302,0.013785
182,0.014822,0.013876
182,0.014904,0.013831
182,0.014868,0.014629
182,0.01566,0.014786
182,0.015814,0.01374
183,0.014906,0.013662
184,0.014707,0.014035
184,0.015084,0.014919
185,0.015964,0.014801
185,0.015845,0.015018
185,0.016064,0.014194
185,0.015237,0.013925
185,0.014972,0.01401
185,0.015057,0.013951
185,0.014992,0.015321
185,0.016494,0.014139
